"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","HS4","HS4 ID"
0.4262350657,0.3773101974,0.15527274,0.0640514415,0.1830075923,0.1563804373,0.1359826251,0.1292888911,0.2347490983,0.1706942552,0.0396012629,0.051526404,0.0135873905,0.0416181324,0.0033851617,-0.0106170509,-0.0750912705,-0.1144419049,-0.1243639889,-0.1256382071,-0.1283221582,-0.2548014954,-0.2898963361,-0.1615385762,-0.1886417693,"Cheese","0406"
-0.731234256,-0.5864580994,-0.6729418735,-0.4819575807,-0.5971534823,-0.8609547325,-0.9697565693,-0.9544958428,-0.8075912515,-0.6935297487,-0.5396315912,-0.5599810731,-0.490139251,-0.5158540647,-0.4282614467,-0.4666653648,-0.4670365095,-0.2528324751,-0.1575120879,-0.3306441982,-0.3666222276,-0.6988841222,-0.6788142205,-0.7665312624,-0.3695078256,"Eggs","0407"
,,,,,,,,,,-0.0339257535,0.1294327763,0.2192305026,0.2765790784,0.2731340282,0.2226939044,0.3777393685,0.6642558059,0.4822184954,0.3341081789,0.3462431706,0.244659094,0.3540587415,0.4869956556,0.2805370777,"Processed Egg Products","0408"
,,,-1.4835280104,,,,-1.0415934029,-1.0347215737,-0.9697531972,-0.966868602,-0.8926880691,-0.9631129359,-0.947721309,-1.0291851133,-0.9703626126,-1.2524698652,-1.0060470359,-0.8527292026,-0.8973610736,-0.9246031317,-1.0117980395,-0.9050199034,-0.9727121762,-0.9540368949,"Honey","0409"
,,,,,,,,,,,,,,,,,,,,,,-0.5271906926,-0.8024585728,-0.767333477,"Other Edible Animal Products","0410"
-0.8626912353,-0.8439337697,-0.8274282345,-0.8781149084,-0.963315684,-0.9760596294,-0.9408250437,-1.1621260782,-1.1543370196,-0.9970901847,-0.8295262969,-0.8769634314,-0.7822115112,-0.8232747205,-0.7964184982,-0.8232641966,-0.834492783,-0.9037604385,-0.9720090314,-0.9667874478,-0.969689627,-0.9849787195,-0.9699909515,-0.9781342188,-0.9745893653,"Animal Organs","0504"
-0.5942511641,-0.59768514,-0.5348234757,-0.3437663884,-0.3341488542,-0.2300414898,-0.1406809022,-0.3077958127,-0.5305850909,-0.277987957,-0.2885798864,0.0710460105,0.2200816892,0.1805572489,0.5139315484,0.2322335532,0.4246357951,0.5758956005,0.3488721485,0.5154476719,0.5505626517,0.459185553,0.6449821661,0.7227077173,0.4146252369,"Bird Feathers and Skins","0505"
-0.8818939518,-1.0201727238,-1.1288255467,-1.0529544941,-0.9943991399,-1.0153601348,-1.1015113571,-1.1786025611,-1.1537001811,-1.0180605195,-0.993477192,-0.9904005832,-1.0635369646,-0.9279680677,-0.9771739425,-0.9044440127,-0.5697194705,-0.5764394621,-0.5592252934,-0.6168175631,-0.7222792587,-0.6212127891,-0.7684112711,-0.9105727783,-0.5815125118,"Other Inedible Animal Products","0511"
-1.0242421331,-1.3625817696,-1.4588955018,-0.606136129,-0.3146867278,-0.7447176384,-0.6051282442,-0.5947847569,-0.4138382328,-0.5121176729,-0.7071123868,-0.87535701,-0.949991193,-1.1228341364,-1.4728604009,-0.9394234823,-0.8302683813,-0.8017498281,-0.9983199679,-0.8641465415,-1.2914953486,-1.1131702966,-0.6113413666,-0.4575246291,-0.5099043919,"Bulbs and Roots","0601"
-1.1057903859,-1.3858200325,-1.5208718971,-1.4574011101,-1.4062154109,-1.1880850388,-1.3727447625,-1.2573598177,-1.2342122506,-1.335153095,-1.2639461031,-1.1032397299,-1.0750354404,-0.954453804,-0.987625679,-0.8434495567,-0.8603019316,-0.7106430324,-0.6636178996,-0.6581880561,-0.6339825155,-0.6452025691,-0.5557292077,-0.5505276037,-0.7758960061,"Other Live Plants","0602"
