"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5180.0612025078","4616.94485412872","2735.78653877911","2554.17216716616","2757.23180984117","3008.23332068624","3234.06962110572","3378.94443074421","3654.05296834871","3798.67375035142","4048.24990407114","4464.38583116475","5081.51855787396","5823.716092618","6472.14199852835","7419.87119017403","8464.48572583781","9708.41539720344","10467.5298136022","9052.38354922249","9286.19732701296","9725.27822960819","10397.654656654","10691.2767474722","11019.838784895","11321.3325403745","11303.0678498177","12115.1392902637","12715.1089539751","13653.7633812861","12592.6353675009",
"American Samoa","ASM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15458.4571892781","15588.0229589094","15500.4918378665","15991.9107140353","16698.1471572791","15628.0850109655","16303.1762779464","16828.0909380957","17260.3015741427","17551.4667690828","18313.3497055005","17207.6512135618","17143.3260283248","17952.7791441441","18743.286854691","19683.5410828179","21848.8881268378","23510.7076526761","23131.577653176","20047.716006336","18205.7385326292","17605.1701396079","17966.0643624765","17642.860867551","18104.4073367164","18594.2616238259","19419.58079882","19840.2840357026","21030.3950717884","21548.7250080262","17956.315715683",
"Australia","AUS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31058.2596709541","30542.9197143586","30298.9290163388","31213.0798529168","32114.830840244","32946.9006734039","33778.0635392223","34727.1997827083","35940.0171358725","37334.4752293048","38343.002147534","38559.9041923683","39616.3360972665","40298.8860528145","41449.8419535385","42217.136349705","42761.4056075413","44128.727085347","44835.3614074555","44771.4842140369","44991.7837148741","45463.6819958564","46427.3681999004","46814.7415105804","47289.9646101072","47636.319641906","48197.431189174","48482.6474614392","49151.6887104846","49455.5385080697","48697.8370282475",
"Austria","AUT","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37440.8371224764","38344.6538588312","38718.93304962","38603.2585486016","39378.7061153852","40367.4710458506","41260.1714020034","42076.2876519581","43535.4217533188","44996.0545966818","46403.2776992589","46811.746772924","47351.3346982706","47564.8638976916","48563.5886574222","49316.2647023136","50767.8484448075","52489.7572106205","53089.8763414956","50957.6063796813","51769.1455641151","53102.950844304","53221.0786648309","52921.8171022969","52857.0563215416","52798.0994607541","53269.3062047537","54169.9639937065","55297.6182880367","55833.3156857561","52119.8482451895",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7758.15403607236","7585.17951719775","5782.65027681675","4379.81407803336","3469.77031647845","3025.29387687973","3033.830388279","3178.97739607155","3463.84200968233","3687.6610145928","4063.47164104466","4431.28987324473","4813.50418477741","5264.84052596649","5701.90326352629","7222.03607503781","9605.09610840819","11914.994832597","12903.1519167445","13822.0911094279","14312.7561158751","13905.2457636452","14023.9807176578","14652.7042457179","14875.7816413327","14853.9105525729","14238.7841366188","14121.4069355591","14209.6494059309","14439.3014032972","13699.665590318",
"Burundi","BDI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1184.84200478917","1215.88718672266","1202.10629369544","1105.22868560534","1044.71606814271","947.822209399117","861.482879059719","839.196845267928","870.043800489074","850.046931139874","828.000459963366","826.028941189357","839.777900352484","804.884213731122","817.461158471719","798.704826964119","815.053628697424","815.908194131274","827.792314504817","831.564824331731","846.169136789899","852.502621649322","862.715712963336","877.272964851954","886.235416674512","825.20566069269","794.60427137057","773.572858670972","761.524125241416","751.664152760383","731.063229715588",
"Belgium","BEL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35501.5322272734","36018.2114895813","36421.4590888573","35930.4979260634","36975.8306460501","37778.4096393928","38202.9139241302","39556.3625808097","40246.3536654865","41576.7800001823","43017.603591764","43341.3037069088","43883.9301575108","44154.2024101715","45533.5483079498","46335.1462063183","47205.4051380483","48583.0185789049","48416.1588810628","47057.6398373859","47965.2707459123","48147.5553562431","48203.6003521512","48197.2623566645","48741.2145990499","49448.8850610951","49822.3571208045","50435.5834432248","51104.1827216761","51735.8668837633","48203.6419388597",
"Benin","BEN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2175.20857627754","2191.84060664547","2179.50722950697","2227.35320010682","2195.82205208473","2253.11952565039","2277.76181597961","2336.54587215328","2358.28012692083","2411.99156352693","2478.21823775279","2532.6340518119","2570.78730365314","2579.6978073036","2614.21245549228","2581.64225153177","2606.8174487874","2685.13026142111","2738.19438467888","2724.08476657688","2704.70548403998","2707.86970043413","2759.8482557771","2876.90390883259","2975.85478222347","2945.97022066586","2961.44041597859","3044.51715620565","3160.78067023465","3287.30953782251","3323.14445067571",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017.54005082607","1080.51521119654","1054.253612387","1061.58686401122","1046.60968094107","1076.46866323079","1162.45142237182","1201.95097754407","1254.13713889504","1309.40259006182","1296.74796014307","1343.54354257612","1362.28017545833","1426.61671204758","1447.50365577282","1527.02215854176","1574.73012209824","1590.83027032364","1632.94858853561","1631.19382841923","1716.35832279765","1775.77917858267","1834.54330775192","1883.79653969539","1907.94921260654","1925.33207544524","1981.429813531","2044.38698676758","2120.33026783506","2178.3228791324","2160.51152951619",
"Bangladesh","BGD","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1517.72927106581","1534.52517930292","1582.31359952154","1621.32684617706","1648.73402343608","1696.56782496942","1735.92200817636","1775.9641175023","1829.50380574895","1876.59904380337","1937.72919211467","1998.06631990634","2037.23630988193","2097.16874811972","2171.68867544338","2279.53127370224","2399.08222733303","2537.11119756525","2659.04923206241","2762.18047443876","2883.46679391309","3034.95108156758","3195.78104025627","3349.02500775857","3511.64550625961","3700.11082057504","3920.14450723583","4160.70332471531","4440.85547046826","4753.72659686814","4818.09473660531",
"Bulgaria","BGR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12070.773969858","11161.3535507334","10461.3956150612","10389.0850403384","10613.9421095097","10965.7080674866","11588.8397959077","10004.7810373587","10503.3700379475","9687.74634236135","10201.2781187994","10803.6192901151","11697.9536355983","12398.4353645885","13297.1135244978","14356.019677453","15449.4350933122","16583.9587844953","17717.1218284588","17229.8494817825","17440.671883099","17966.1580585619","18134.9608435703","18296.146891746","18747.370050962","19620.1539761978","20513.10095142","21387.2766420381","22208.4522754771","23191.5745846967","22383.8055436428",
"Bahrain","BHR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38601.0327316615","41770.6421477913","43430.2713411364","47819.4239458923","46538.7747226765","47157.2167609521","47825.8742542915","47957.0685646187","48717.1820404672","48988.570176162","49406.2910308378","48245.775482163","47311.7455106711","47476.9833537752","47661.3940699161","47493.1483991775","46910.1911420582","47000.3153341983","46408.8320829659","44759.3947196856","44599.804972084","44157.4796400241","45035.9785547932","46930.8307282373","48201.1571717366","48110.7341930587","47937.7090620549","47709.7780156397","46200.445580954","45060.4237448845","40933.3526644217",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38099.2538327744","35837.4651884043","33815.9549752855","33289.7315995842","33742.4793984083","34675.6750692435","35656.4852093656","37659.5017015856","35562.8717497012","39430.7738839293","40518.1795069369","40953.4839488565","41372.2370983239","40135.9965450675","39757.6680928499","40353.9751920068","40596.8009226953","40408.3869814188","38746.783555254","36500.0676546934","36504.4070465871","36253.6681039906","36961.7485368649","35620.7135644207","35659.931134214","35400.6494660106","35558.0724972871","36298.4480017563","37019.9950489508","37100.3629626189","30764.1159665551",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1653.42293141064","2053.39827367106","3946.66874310651","5344.1569674332","6180.71058507575","6757.74502972714","7114.5527648191","7419.0134138563","7804.16871769608","8110.31643838943","8600.43670289933","9350.94404211336","9856.9688824779","10441.7963196058","11035.0385848851","10755.9711188788","10938.2850480476","11176.876815237","11257.8350659388","11725.2508627353","12066.5870581183","12630.6623426277","13194.3254000959","13753.8320539223","14386.7318547663","14896.7900391155","14339.8311811662",
